latitude,longitude,altitude,intensity,x,y,z,level,x_rounded,y_rounded
45.90370267,11.02803609,225.9913,4.0,4357059.60908195,4496718.171203013,1212093.4713403326,upper,217852980.0,224835909.0
45.9037012,11.02803254,226.4957,3.0,4357060.121237311,4496718.468921158,1212093.1823813263,upper,217853006.0,224835923.0
45.90370817,11.02803097,225.9073,4.0,4357059.195444923,4496718.608045147,1212092.8993621948,upper,217852960.0,224835930.0
45.90370599,11.0280385,226.0182,2.0,4357059.331406587,4496718.40601065,1212093.7381545135,upper,217852967.0,224835920.0
45.90370682,11.02803833,226.0336,2.0,4357059.279287722,4496718.482567061,1212093.7226424254,upper,217852964.0,224835924.0
45.90371063,11.02803364,225.9058,4.0,4357058.962038469,4496718.753483498,1212093.1889735556,upper,217852948.0,224835938.0
45.90371144,11.02804255,225.9743,3.0,4357058.814057354,4496718.727964055,1212094.1694902724,upper,217852941.0,224835936.0
45.90371248,11.02803727,226.3148,4.0,4357059.042748814,4496719.1273108935,1212093.6613422749,upper,217852952.0,224835956.0
45.90371182,11.02803865,226.5429,4.0,4357059.23002324,4496719.2169396235,1212093.8548104556,upper,217852962.0,224835961.0
45.90371283,11.02804311,226.0248,3.0,4357058.731213106,4496718.8607544275,1212094.2399530255,upper,217852937.0,224835943.0
45.9037178,11.02803688,226.0185,2.0,4357058.428586552,4496719.32893243,1212093.562318553,upper,217852921.0,224835966.0
45.9037148,11.02804532,225.7858,4.0,4357058.380820073,4496718.808505133,1212094.4341881091,upper,217852919.0,224835940.0
45.90371806,11.02804668,225.8888,4.0,4357058.175292046,4496719.108350078,1212094.6015544673,upper,217852909.0,224835955.0
45.90372323,11.02804661,226.3416,3.0,4357058.079837611,4496719.821749563,1212094.6805700166,upper,217852904.0,224835991.0
45.90372882,11.02805352,226.4832,4.0,4357057.63608751,4496720.241647295,1212095.4579177613,upper,217852882.0,224836012.0
45.90373357,11.02805351,226.0805,3.0,4357056.988392019,4496720.319145896,1212095.3797996768,upper,217852849.0,224836016.0
45.90389284,11.02794727,226.1899,5.0,4357046.127516378,4496734.122423738,1212083.8655958641,upper,217852306.0,224836706.0
45.90374251,11.02829101,225.6261,6.0,4357052.479244983,4496717.069426106,1212121.0796978371,upper,217852624.0,224835853.0
45.90371071,11.02826934,226.3516,12.0,4357055.789606897,4496715.491927256,1212118.8656382144,upper,217852789.0,224835775.0
45.90374136,11.02845997,226.4071,18.0,4357050.614979509,4496714.964802345,1212139.574103318,upper,217852531.0,224835748.0
45.90373817,11.02846671,226.1541,19.0,4357050.593287801,4496714.441447854,1212140.257507449,upper,217852530.0,224835722.0
45.90368945,11.02825601,226.1273,5.0,4357057.50122784,4496713.919675341,1212117.3754122376,upper,217852875.0,224835696.0
45.90368073,11.02824631,226.36,4.0,4357058.487364881,4496713.56800542,1212116.3667382677,upper,217852924.0,224835678.0
45.90367942,11.02824822,225.9417,4.0,4357058.276346586,4496713.144497072,1212116.4941007257,upper,217852914.0,224835657.0
45.90367597,11.02824275,226.0911,4.0,4357058.729699168,4496713.070582302,1212115.928768808,upper,217852936.0,224835654.0
45.90367069,11.02823864,226.3688,6.0,4357059.3942796495,4496712.927276999,1212115.5356431718,upper,217852970.0,224835646.0
45.90365903,11.02822729,225.6099,6.0,4357059.958171889,4496711.678121821,1212114.1581327748,upper,217852998.0,224835584.0
45.90364735,11.02822394,226.1413,4.0,4357061.287130058,4496711.2154134475,1212113.8960558027,upper,217853064.0,224835561.0
45.90357092,11.02843732,226.1454,12.0,4357064.146295901,4496702.163435321,1212137.0647947502,upper,217853207.0,224835108.0
45.90364162,11.02821519,225.6674,4.0,4357061.541995866,4496710.578591984,1212112.8553616775,upper,217853077.0,224835529.0
45.90363286,11.02821048,226.3373,4.0,4357062.756409016,4496710.456232297,1212112.4721150894,upper,217853138.0,224835523.0
45.90363298,11.02821043,226.0687,4.0,4357062.564269073,4496710.276779249,1212112.415305176,upper,217853128.0,224835514.0
45.90363269,11.02821053,226.0504,5.0,4357062.57305727,4496710.240306669,1212112.4226621352,upper,217853129.0,224835512.0
45.90363146,11.0282071,225.6487,4.0,4357062.445729259,4496709.915734909,1212111.973404094,upper,217853122.0,224835496.0
